1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
6937.5,6882.35294117647,6888.88888888889,6923.07692307692,6950,7000,6833.33333333333,8000,7666.66666666667,8200,7714.28571428571,7550,7294.11764705882,7470.58823529412,7461.53846153846,7545.45454545455,7750,8428.57142857143,8600,8833.33333333333,8529.41176470588,9000,9000,8923.07692307692,9214.28571428572
215379.310344828,219513.513513513,218000,216354.838709677,218111.111111111,219416.666666667,215307.692307692,244055.555555556,252000,237263.157894737,245071.428571429,239382.352941176,240937.5,239266.666666667,242375,239263.157894737,244500,269138.888888889,264296.296296296,269333.333333333,266321.428571429,276423.076923077,277333.333333333,272428.571428571,281370.37037037
215379.310344828,219513.513513513,218000,216354.838709677,218111.111111111,219416.666666667,215307.692307692,244055.555555556,252000,237263.157894737,245071.428571429,239382.352941176,240937.5,239266.666666667,242375,239263.157894737,244500,269138.888888889,264296.296296296,269333.333333333,266321.428571429,276423.076923077,277333.333333333,272428.571428571,281370.37037037
215379.310344828,219513.513513513,218000,216354.838709677,218111.111111111,219416.666666667,215307.692307692,244055.555555556,252000,237263.157894737,245071.428571429,239382.352941176,240937.5,239266.666666667,242375,239263.157894737,244500,269138.888888889,264296.296296296,269333.333333333,266321.428571429,276423.076923077,277333.333333333,272428.571428571,281370.37037037
89750,91181.8181818182,89636.3636363636,88346.1538461538,89937.5,90628.5714285714,88565.2173913044,105750,99750,100846.153846154,104235.294117647,99708.3333333334,103545.454545455,101727.272727273,100750,103615.384615385,99235.2941176471,111500,108055.555555556,109388.888888889,111800,111350,109350,109000,111421.052631579
89750,91181.8181818182,89636.3636363636,88346.1538461538,89937.5,90628.5714285714,88565.2173913044,105750,99750,100846.153846154,104235.294117647,99708.3333333334,103545.454545455,101727.272727273,100750,103615.384615385,99235.2941176471,111500,108055.555555556,109388.888888889,111800,111350,109350,109000,111421.052631579
89750,91181.8181818182,89636.3636363636,88346.1538461538,89937.5,90628.5714285714,88565.2173913044,105750,99750,100846.153846154,104235.294117647,99708.3333333334,103545.454545455,101727.272727273,100750,103615.384615385,99235.2941176471,111500,108055.555555556,109388.888888889,111800,111350,109350,109000,111421.052631579
272714.285714286,275972.972972973,272600,276705.882352941,276530.612244898,273973.684210526,272888.888888889,300176.470588235,303846.153846154,308647.058823529,302562.5,307842.105263158,308222.222222222,305970.588235294,311148.148148148,300520,301379.310344828,344777.777777778,346400,344793.103448276,347677.419354839,358612.903225806,359161.290322581,362088.235294118,360628.571428571
272714.285714286,275972.972972973,272600,276705.882352941,276530.612244898,273973.684210526,272888.888888889,300176.470588235,303846.153846154,308647.058823529,302562.5,307842.105263158,308222.222222222,305970.588235294,311148.148148148,300520,301379.310344828,344777.777777778,346400,344793.103448276,347677.419354839,358612.903225806,359161.290322581,362088.235294118,360628.571428571
272714.285714286,275972.972972973,272600,276705.882352941,276530.612244898,273973.684210526,272888.888888889,300176.470588235,303846.153846154,308647.058823529,302562.5,307842.105263158,308222.222222222,305970.588235294,311148.148148148,300520,301379.310344828,344777.777777778,346400,344793.103448276,347677.419354839,358612.903225806,359161.290322581,362088.235294118,360628.571428571
108291.666666667,107030.303030303,106535.714285714,105656.25,107666.666666667,107772.727272727,106071.428571429,126312.5,125166.666666667,122052.631578947,124464.285714286,124617.647058824,123848.484848485,124375,125560,122142.857142857,123500,142742.857142857,141384.615384615,143636.363636364,140111.111111111,151925.925925926,151240,149586.206896552,152576.923076923
108291.666666667,107030.303030303,106535.714285714,105656.25,107666.666666667,107772.727272727,106071.428571429,126312.5,125166.666666667,122052.631578947,124464.285714286,124617.647058824,123848.484848485,124375,125560,122142.857142857,123500,142742.857142857,141384.615384615,143636.363636364,140111.111111111,151925.925925926,151240,149586.206896552,152576.923076923
108291.666666667,107030.303030303,106535.714285714,105656.25,107666.666666667,107772.727272727,106071.428571429,126312.5,125166.666666667,122052.631578947,124464.285714286,124617.647058824,123848.484848485,124375,125560,122142.857142857,123500,142742.857142857,141384.615384615,143636.363636364,140111.111111111,151925.925925926,151240,149586.206896552,152576.923076923
140209.677419355,140025.641025641,140067.567567568,140117.647058824,140043.47826087,139134.831460674,139953.125,148191.489361702,146685.714285714,146578.947368421,148127.659574468,149211.538461538,147181.818181818,147830.508474576,148418.181818182,147775.510204082,147352.941176471,159555.555555556,160500,160959.183673469,162076.923076923,168306.12244898,166478.260869565,169285.714285714,168925
140209.677419355,140025.641025641,140067.567567568,140117.647058824,140043.47826087,139134.831460674,139953.125,148191.489361702,146685.714285714,146578.947368421,148127.659574468,149211.538461538,147181.818181818,147830.508474576,148418.181818182,147775.510204082,147352.941176471,159555.555555556,160500,160959.183673469,162076.923076923,168306.12244898,166478.260869565,169285.714285714,168925
140209.677419355,140025.641025641,140067.567567568,140117.647058824,140043.47826087,139134.831460674,139953.125,148191.489361702,146685.714285714,146578.947368421,148127.659574468,149211.538461538,147181.818181818,147830.508474576,148418.181818182,147775.510204082,147352.941176471,159555.555555556,160500,160959.183673469,162076.923076923,168306.12244898,166478.260869565,169285.714285714,168925
317966.666666667,316012.345679012,317415.584415584,315753.424657534,317819.277108434,315333.333333333,320313.725490196,336638.888888889,329724.137931034,335281.25,332627.906976744,330472.727272727,332120.689655172,332314.814814815,336191.489361702,335951.219512195,335630.434782609,371018.181818182,371529.411764706,376244.897959184,374735.849056604,398921.568627451,400000,400784.31372549,397538.461538461
