info	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
T,Y25-74,PC_ACT,RO	: 	: 	4.4	4.7	5.5	6.2	5.9	6.5	6.2 i	6.1	5.6	48.9 i	4.9	4.3	5.2	5.6	5.7	5.4	5.7	5.5	5.6	4.8
T,Y25-74,PC_ACT,SE	7.4	8.2	8.6	7.2	6	5.0 i	4.6 b	4.6	5.2	5.7	5.7	49.9 i	4.3	4.1	5.9	6.2	5.5	5.7	5.7	5.7	5.6	5.3
T,Y25-74,PC_ACT,SI	: 	5.1	5.2	5.8	5.9	5.4	4.8	5.1	5.5	5.1	5.4	50.9 i	4.2	3.7	5.1	6.5	7.5	7.9	9.2	9	8.4	7.5
T,Y25-74,PC_ACT,SK	: 	: 	: 	10.1	12.9	15.4	15.8	15.4	15	16.1	14.4	51.9 i	10.1	8.5	10.5	12.5	11.8 i	12.2	12.5	11.8	10.2	8.7
T,Y25-74,PC_ACT,UK	7.1	6.6	5.5	4.9	4.7	4.2	3.8	3.9	3.6	3.3	3.3	52.9 i	3.6	3.9	5.6	5.8	5.8	5.7	5.4	4.4	3.8	3.6
T,Y_LT25,PC_ACT,AT	5.9	6.3	6.7	6.2	5.4	5.6	6.2	6.7	7.6 i	10.5	11	53.9 i	9.4	8.5	10.7	9.5	8.9	9.4	9.7	10.3	10.6	11.2
T,Y_LT25,PC_ACT,BE	22.9	22.1	22	22.1	20.3	16.7	16.8	17.7	21.8	21.2	21.5	54.9 i	18.8	18	21.9	22.4	18.7	19.8	23.7	23.2	22.1	20.1
T,Y_LT25,PC_ACT,BG	: 	: 	: 	: 	: 	33.7	38.2	35.4	26.6	24.3	21	55.9 i	14.1	11.9	15.1	21.9 i	25	28.1	28.4	23.8	21.6	17.2
T,Y_LT25,PC_ACT,CY	: 	: 	: 	: 	: 	9.9	8.2	8	8.8	10.2 i	13.9	56.9 i	10.2	9	13.8	16.6	22.4	27.7	38.9	36	32.8	29.1
T,Y_LT25,PC_ACT,CZ	7.8	7.2	8.6	12.4	17	17	16.6	16	17.6	20.4	19.3	57.9 i	10.7	9.9	16.6	18.3	18.1	19.5	18.9	15.9	12.6	10.5
T,Y_LT25,PC_ACT,DE	8.9	10	10.6	9.7	9	8.7	8.3	9.8	11.5	13.7	15.4 i	58.9 i	11.8	10.4	11.1	9.8	8.5	8	7.8	7.7	7.2	7.1
T,Y_LT25,PC_ACT,DK	9.6	9.7	7.7	7.3	9.1	6.2	8.3	7.4	9.2	8.2	8.6	59.9 i	7.5	8	11.8	13.9	14.2	14.1	13	12.6	10.8	12
T,Y_LT25,PC_ACT,EE	: 	: 	: 	: 	: 	23.9	22.2	17.9	20.9	23.9	15.1	60.9 i	10.1	12.0 i	27.4	32.9	22.4	20.9	18.7	15	13.1	13.4
T,Y_LT25,PC_ACT,EL	: 	: 	: 	30.4	31.5	29.1	28	26.8	26.8 i	26.5	25.8	61.9 i	22.7	21.9	25.7	33	44.7	55.3	58.3	52.4	49.8	47.3
T,Y_LT25,PC_ACT,ES	39.8 i	39.2	36.1	32.4	26.4	23.2	21.1	22.2	22.7	22	19.6	62.9 i	18.1	24.5	37.7	41.5	46.2	52.9	55.5	53.2	48.3	44.4
T,Y_LT25,PC_ACT,FI	29.7	28	25.2	23.5	21.4	21.4	19.8	21	21.8	20.7	20.1	63.9 i	16.5	16.5	21.5	21.4	20.1	19	19.9	20.5	22.4	20.1
T,Y_LT25,PC_ACT,FR	34.7 i	37.2	39.3	37.8	37.3	31.5	29.1	30.5	18.8	20.4	21	64.9 i	19.5	19	23.6	23.3	22.7	24.4	24.9	24.2	24.7	24.6
